"","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA1.13_AD1.13_DA0_DD1.13_epoch1651144352","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A10_D0_AA0_AD0_DA0_DD0_epoch1651149628","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A7.5_D2.5_AA0_AD0_DA0_DD0_epoch1651149628","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A5_D5_AA0_AD0_DA0_DD0_epoch1651149628","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A2.5_D7.5_AA0_AD0_DA0_DD0_epoch1651155913","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A0_D10_AA0_AD0_DA0_DD0_epoch1651173856","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA3.4_AD0_DA0_DD0_epoch1651183589","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA0_AD3.4_DA0_DD0_epoch1651183589","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA0_AD0_DA0_DD3.4_epoch1651183589","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A3.3_D3.3_AA1.13_AD1.13_DA0_DD1.13_epoch1651183589"
"sample_724",188.38904195627,-507.840619899595,-22.7096036866728,-249.50380956935,-107.625239670321,23.6933805586913,17.2619781238933,89.9643875237313,-168.576859622759,-267.345298755293
"sample_194",184.834327196657,-465.746942299751,-81.6247511076011,-188.112866867648,343.59310360549,-190.294205496797,-61.258763727665,18.0236534350726,-30.6194555003668,-142.884584397533
"sample_304",68.5660628867701,-338.928123350871,-19.8639489233213,-186.801492696619,133.641589469805,-129.178975005477,91.4171631458331,43.5869100909084,-22.9829914707735,-210.350178958667
"sample_815",2.51256606986582,-401.671298417582,-137.439910532964,-74.0982405629241,126.068612121968,-113.774968365541,124.848527350887,-122.577625340945,-81.3135147827197,22.9784850372305
"sample_795",-63.6417639895373,-605.184638881082,-203.518626543369,-276.443656880169,-70.9901850898382,104.646456339567,106.531125884426,58.2037832482817,-233.036298062601,-152.00437217097
"sample_606",73.5979275010261,-352.168467846834,-156.749758902969,-226.970226438531,151.590113761488,32.3411773963435,67.3179944682193,168.732620119506,-54.878468454126,-123.521838357859
"sample_591",21.1760054258543,-787.402412933632,-41.98706576557,-361.284648332392,197.263863115838,-55.2552847764864,119.14627982556,-30.7065804981383,19.4195090472133,-245.789870686907
"sample_701",4.85038114318986,-358.84997753788,-71.7371619743855,-350.221201477326,368.793357946999,59.8155588323305,277.413477622826,107.746057755761,-101.098805214891,-166.443946485725
"sample_731",-69.1105920755855,61.2258410965991,-205.523693890068,-347.649643568691,1.963321304044,-204.574377779361,-191.90885150804,35.2088502525133,-143.673046215543,-204.53578325353
"sample_940",-27.7839919317596,144.444079379758,-335.454365074264,-325.053819233859,-140.735055167082,-364.742465148411,-142.368565404167,5.74301419555334,-129.31110219428,-100.366919319938
"sample_605",173.609048452685,-294.698406255804,118.540189747802,-182.433065073953,-5.64945907960498,126.770916895203,117.559036019973,2.8498177704575,-281.249676114989,-88.0034043595579
"sample_377",-22.2478070088717,-88.0153696342861,28.6072656579701,-399.235488898474,-111.543233257462,155.741342893963,-8.6132364256022,19.9926738760378,-22.5321242227075,-77.0603512877611
"sample_29",-74.6578728741528,-53.387180693091,29.9204839810071,-294.666589026304,-59.9381182499804,-234.040091202119,50.6562883099891,-64.5964874686372,-102.99500321685,-186.592393162574
"sample_399",176.050110011921,-169.95575489107,54.6881978503992,-449.930274066599,7.26519437884873,-494.08395395901,127.548605950105,-121.951025538034,-68.8525428104218,-103.384216826627
"sample_505",80.0675528444414,-74.2020805450641,-209.291061466357,-363.382137439248,73.5210702341862,75.0864202536237,14.3816816327647,106.32308803132,-126.434628431393,-124.323482960047
"sample_446",117.791446180791,-23.9100856272266,-71.0682950428953,-264.804916313852,20.8892160144823,-157.164386998017,88.2001432125655,-68.0336724732068,-142.639811682846,-180.868658152571
"sample_382",-99.806303285804,-345.631557266692,76.112086464511,-361.806159001607,292.820133039187,239.077009376742,264.637928190185,-84.0410960457546,-21.987387050944,-260.185957156566
"sample_393",86.1485416622511,-644.662824290438,-353.296381067585,-352.324446547921,252.342728194521,-234.896705675133,-14.8698096613872,143.939904605421,-117.884170809112,-125.175432003949
"sample_463",119.369133725886,-150.510571970161,-186.065688067811,-207.924550713678,111.397983290721,-236.77119004128,90.4889710246899,-163.39099824462,-52.017793324021,-187.11553929682
"sample_894",130.001927695682,-178.258214514868,-217.36342884564,-467.996125421856,-167.542554881045,-187.484014677982,68.3704050248926,45.6499578183363,-124.236412445193,-108.731997598463
"sample_519",69.9676501087001,-93.9235424762945,-24.2639510334085,-274.763851358441,287.100725546192,280.128624940266,33.5618615565751,41.4724575138942,-102.799847569662,-169.112086701018
"sample_380",11.8044314875481,-83.3712980688615,-152.039415410852,-261.396805116477,74.1872319934493,44.6681243881889,-0.104130081266774,-60.9506525321231,-46.3758821748358,-202.933959342092
"sample_117",144.752880213864,-459.15618773384,-278.509003632155,-231.674275548822,264.0474493325,-149.075851906806,-58.0162042250774,144.794633354617,-296.534257153207,-187.769814919123
"sample_177",58.0311486729557,-408.726327964053,65.0881523352625,-373.806358591128,318.781089900298,-163.573845133979,-79.4692911712945,202.23871496235,-43.8646673174947,-220.220191561171
"sample_596",267.724810939888,-167.608977958368,94.0206105956647,-147.108830828546,106.734291200629,32.1455634095442,-49.0442173354131,64.3898641472565,-104.802502952477,-63.9688914485193
"sample_89",305.984149192031,-52.3592921501884,13.6144077967821,-422.283847451918,216.526310676581,-251.982968881464,-64.9888356521594,-72.6764011163666,-26.7399798287519,-88.259629652394
"sample_476",242.526626121667,-351.351842492026,129.519580132113,-340.311420421317,268.327071053137,-55.3644521000702,165.412734459726,88.5221529410891,-214.05819362405,-283.171915846689
"sample_503",85.7872858984994,200.309174174961,-176.518905859221,-310.836200682973,133.9127609251,127.779887795851,-82.1503560726318,32.875422944671,71.6363149601586,-69.6609443823751
"sample_297",52.1660873193897,-289.874526363327,49.9833677995151,-398.239252304956,287.928694381442,-30.2872351101257,-25.8188690964501,61.9479575148311,-215.320500807383,-108.894973716881
"sample_506",51.6509246304726,-273.909864154218,-113.746470785081,-310.153441755902,203.885559377981,147.133392762612,-49.1808722067707,176.15021691192,-161.027235045795,-232.707479849365
"sample_507",129.619961261877,16.0560561177715,44.7602470974497,-338.252924458235,100.470355595378,-195.421595021311,25.7096609973639,140.24095109285,-129.768954084953,-203.745106718493
"sample_473",202.504725565533,-50.6074716401672,-75.9310539220155,-386.301493387369,-115.936951894134,-155.975694944872,-117.178571769578,24.8615213933263,-37.4668859902415,-183.738634760844
"sample_487",160.708090531525,-432.058806895959,105.781731039479,-233.457494212568,-37.6510940813526,-336.110064510058,8.0606095919223,52.6777986138095,-51.470019633145,-129.12447508136
"sample_489",82.7293174547623,-245.999688474151,26.3104750325949,-212.909241265187,167.102397564271,-226.333670277545,-154.471313516204,84.715663230355,-183.719870383899,-50.2942931735739
"sample_485",0.682470248593603,-165.547612979779,418.251032258424,-267.526448379333,191.94289623579,21.6339420044087,97.0853000182994,6.14077148981761,80.9187817044227,-157.555110270591
"sample_496",216.231114144804,-240.666313829484,318.322148128304,-472.97519843319,81.5189324944416,80.1857992410953,157.421111680309,66.0300751786727,-33.7108873795048,-76.83607040707
"sample_498",-18.0925732404927,-502.888954402242,257.138612336935,-318.359841791627,20.2353945409683,-184.857133873418,128.141095927602,124.09953941378,-56.0430048550282,-217.340299495073
"sample_582",-135.028771567172,-163.032910466862,-107.784879305933,-144.220794141957,-79.3409363751526,-315.951997980621,-206.119581811155,-177.577138205038,-118.879731913791,-237.049926196151
"sample_101",150.166386699072,-365.086876390431,62.3098086722902,-275.700838958828,-111.50155147578,28.7315700543555,-39.4400341460969,-9.97478680557133,73.1122614164628,-52.0871082616485
"sample_31",-41.2594380194432,-62.6929215440109,-165.06353786435,-192.100197733848,258.688534809609,-42.3504502184794,-81.2115234739033,89.1990147716587,-104.166145626139,-173.403305458347
"sample_1007",120.24975589795,-540.474452972406,-93.5825638583057,-130.251418404987,72.6955981052446,-85.6181779535095,-130.597450074721,-15.4938490529426,-9.14753984842299,-287.860443239203
"sample_999",40.9020718292718,-556.203972806031,285.507689277413,47.5652075547144,353.605560429653,-258.562051880278,97.6775916411864,94.0667367302627,-155.867832895059,-53.9180702034832
"sample_1002",24.0232961660024,-275.753689060609,-187.439355520017,128.138073022963,221.637369070268,53.8687061864848,-8.09842834303124,198.420471132496,-124.411371337018,-215.472236972394
"sample_1026",121.624505871907,-237.561261965469,-53.9177563412771,-428.066200073937,33.4380733258887,-295.738437612773,92.3934926754839,-32.8641996747328,-133.833679917458,-97.4275440439116
"sample_1021",152.361884707657,-400.041872517953,126.968556354159,24.5679049577268,251.874989001374,22.9478059463135,-113.755354312071,4.08182418705211,-272.648633325003,-161.418030483484
"sample_654",143.998504946462,-207.269324287202,-275.396980453796,-158.654791624585,243.187023712971,177.795710544482,160.493199159326,15.188415039896,-277.77212655099,-100.075657277227
"sample_985",34.4021203475828,-350.946280328608,1.33437294818467,-115.481706256336,43.1653655946074,-49.5703369848445,-11.6626220613548,126.907227903399,-200.890028662869,-74.1288829881305
"sample_978",106.619599693256,-515.978946112091,-17.5270930716032,-259.316185044955,298.10167191848,-81.5303238174153,138.891963631784,23.6804120483425,20.0404177893523,-150.935989224805
"sample_548",146.494768280255,365.544758219583,-139.247053479692,-281.337941275465,127.75829391009,-170.249247585827,-9.20495612915231,-64.7523383513217,-186.884205906252,-57.3473633251596
"sample_368",6.4874927169394,-177.110451798549,-222.583504208305,-54.5139541625103,59.8443116503745,-25.0479023706509,97.7638977579063,139.882982925762,-165.132858688755,-185.533617906966
"sample_367",-183.171963927075,141.110404441508,-93.8204801059724,-361.505175840179,146.429548452568,-4.80213871850299,205.969451340701,-58.8733236451961,76.1526710192998,-138.452666397335
"sample_447",24.963319046096,-169.895286427149,-80.8245514901813,-403.243707187738,-39.8230454806448,234.801699502434,110.552183162538,138.728409927341,-83.2859922716927,-94.7249362446795
"sample_824",-61.3382265432218,-172.072165779656,-10.656437813755,-231.77093408166,224.227955624776,-50.6342547106264,162.139712157129,37.4980952737141,-172.976427407654,-313.17501500301
"sample_524",43.0022400044601,-183.432363816501,-118.451748049781,-331.646206519913,71.1176901187725,32.9055709511159,158.803123588082,-20.0385058828831,-110.96827656594,-313.391567814635
"sample_436",-38.5164728415268,-518.61779945576,-65.3080478479899,-323.675797387301,-31.650979589716,-129.845293892453,-14.8404987347313,64.4307906083011,-164.318855328204,-291.178518738732
"sample_378",16.6112200655479,-385.771993925058,55.7674316919945,-192.414889574951,201.53453948794,380.544632567551,-120.678669215391,-32.7081745062881,-94.2120194062156,-59.2998417262081
"sample_389",21.0065987241964,-66.659555497146,-95.6332959415641,17.5768896897947,-165.560115629058,-312.750706646086,31.4450272216841,37.9958664332425,-102.696476159474,-159.406033934905
"sample_411",-81.262547683875,-346.351125114347,168.739011109293,-252.632941197285,-20.1416600933602,-118.884717407753,203.239234676638,83.1681165589844,-95.7661348885948,-259.184684682674
"sample_434",122.658446796215,121.649426612012,-8.56945312081251,-450.044365669056,78.4970817566818,153.73869190634,-174.398823031667,-24.0869043750188,-212.667362241622,-166.090867111079
"sample_558",-22.5622272617321,-349.168890532092,185.620218716886,-21.7051066957244,-79.1721280273009,310.215034411344,-137.155018084529,156.853029541594,-94.410424104124,22.3379130625657
"sample_87",-73.0355657354526,-530.429392717922,-111.676358358745,-204.998266211172,142.106971990634,37.420414577033,-269.805127312325,177.242250051944,-164.276861115259,-155.195958173007
"sample_482",10.6710937251198,-339.241590948902,154.54181624306,-366.514869320622,171.449394612127,130.097249127683,105.626185076714,17.7639847383766,-94.4314301394672,-136.543027613981
"sample_703",-1.68713846186163,-460.697018224448,-400.268813787163,-85.4950974288479,-44.3087679178561,-274.843816185593,84.3491975866362,2.14584633400623,-7.9583923209363,-178.578199253089
"sample_779",-81.3241450248414,-575.822533029076,-178.553480744905,58.7430422913431,-49.5204303075878,269.552212284201,-92.1164390793365,-62.9924200194508,77.0869903811769,3.95659913788364
"sample_791",93.5171731118135,-761.940552838849,-80.6611420187658,-121.881033800912,254.176250746549,-283.700321379244,-190.765448468058,-67.5603492645933,-128.488671747215,-140.406443213772
"sample_9",95.6152280412717,-609.481691322415,-68.1877509866614,-355.26801215203,14.6082003544625,-276.244832536417,44.7468990558222,140.61884445446,-179.924436545756,-75.6295647883056
"sample_950",-46.6009973075813,-404.552457680681,-88.9250267640593,74.1366105230621,-98.064804291193,306.921742549833,218.863846617318,-95.1276958492099,114.27798210351,-72.2700993433545
"sample_670",-22.2245297780104,-376.124292846203,-301.03243511632,-31.2121923809019,41.1984266492285,196.561229308847,123.045777416902,11.4110165151492,54.0850590577241,-170.968768701045
"sample_1029",141.94064883168,-393.056581069058,-312.043269776239,-42.9844009320218,-81.7534378766369,-146.245420791243,28.6239964078609,56.1606429882976,160.656339311398,-10.6589189988653
"sample_641",34.6999144229227,-312.435386132089,136.782241322599,-263.20264037957,35.6251032558644,83.5025739385707,185.050561397719,-140.497349640617,95.627139415536,-41.7650320321336
"sample_851",50.2172716633483,-55.4284247577609,-190.400489474264,-200.244714001362,129.940318922501,132.197240283494,-187.89285580329,-71.9570002087659,-133.555950985487,49.0492109002024
"sample_887",71.8407281610781,-561.326044948223,22.1029026426289,-179.511816546353,-5.71906151234974,253.591948983046,-176.090121004525,57.0163839973312,-249.80040335358,-98.328562845443
"sample_617",181.983329422736,-584.969893260008,-144.801015279513,89.5153879120596,51.7655977178962,-106.519963141669,-3.07174099920737,-14.3381336321829,-89.2519134516271,-35.7770588139263
"sample_730",81.2758437731112,-223.043817372017,-387.4897771184,-114.278826953174,107.241441977013,-178.690684441749,-17.447309418394,23.8964884115407,-115.321771531487,-122.217887828363
"sample_929",127.036330118632,-551.334764460436,-356.440544327146,-326.990817712389,-67.2240723767044,-123.55033126402,124.689527216216,38.2203431114971,-88.851324962617,-108.297349943371
"sample_890",10.7933365918191,29.3767716475652,-537.362679226941,-390.770184793789,78.5252480309277,0.133824330713807,67.0545556943719,199.372696727055,29.8985790179707,-242.424814784167
"sample_850",-52.0636250378708,23.506811524966,-498.302347918129,-414.849555137929,75.4639314800121,195.584077128865,255.851417776898,112.543539610398,-13.596506616162,-316.27124543105
"sample_745",3.93567124281859,-509.064026038863,-211.670163885876,-286.082675893991,326.6340648409,-32.6390074859822,-46.2655849158674,61.9626515514254,-17.7601531858316,-42.6094071931468
"sample_888",100.003457155977,-143.84004118534,-86.0606239420982,-259.522722936,36.916357460717,147.568647876816,-96.8927427275529,8.06465052791052,-86.2428801035743,-159.5697887688
"sample_656",130.718706701704,-263.804342918347,-229.378579133699,-61.3596280286475,-125.604101649664,44.0867993158658,14.1012307096464,8.03602153006415,128.067926766443,-157.811374742865
"sample_584",-22.6795565090744,-489.576196161337,112.353829261421,-321.336932733527,106.454746606304,-65.6420877083663,-91.4243802155902,115.284484110472,-226.470243721999,-117.454162788736
"sample_937",-15.9121810797005,-374.913473479011,-271.586944072996,-471.60343932699,152.460053155675,152.744252092179,73.979471560126,-71.4878970929473,-290.517718826229,-219.679213399493
"sample_340",35.606831633078,-362.589236865469,-63.0578938675363,-188.566489457392,-81.9273845765482,323.23829974752,74.2088922918182,281.237176084439,-130.489795422741,-109.503953527395
"sample_354",-18.5523700438476,-356.066079347605,40.7549939471928,-273.596296857715,160.673918149293,203.514439164029,-65.9326895859653,6.95039103573571,-84.2173826979612,-57.0559432479048
"sample_799",162.587274401035,-352.649478750632,89.1532594894763,-266.296604195732,-192.451234483483,-109.069387995481,74.3933532689873,56.137521280895,-185.332370628873,-128.687654280868
"sample_624",238.380376789826,-342.685584684849,-215.341331421424,-6.1439358154243,-49.9689792999304,174.153846401914,91.1135749507446,-45.2425173348911,62.0972026297983,-171.636133350733
"sample_876",160.246496929355,77.8143503924174,-499.916743876916,-18.5064069941233,21.0169007165942,220.271727404356,-86.6081494725878,68.4168767957277,-75.4437373090038,78.7330237395467
"sample_879",195.431233603259,-381.551466686263,-197.401395553104,-131.372795720712,-86.1411510652444,78.6815762181275,-79.7732512229926,6.58140096347724,-282.298317178267,6.64035192031172
"sample_630",30.733325292449,-492.871542113273,-277.078942781651,-48.9312426154638,-24.2289452642151,-152.624056857394,37.2001350082455,-38.9997575654586,-151.212453778826,-57.5347713437088
"sample_58",104.25714288136,-170.210504255331,-128.311174618628,22.1077123512604,79.9617861680989,138.010529641281,78.2942122243571,115.24252480993,-10.6124487337979,-91.230745521075
"sample_865",106.395181174856,-30.2524342080242,-499.755644608298,-217.171979591668,37.7576789523632,-64.2791839246568,-30.9420410817381,53.5843509959316,-93.8403666002993,-164.310509449143
"sample_914",167.108171316429,-373.758479028615,-153.882152358552,-125.815358527891,175.126670900441,356.321063534789,87.485757269568,148.872913380097,142.299830104575,-175.046685943863
"sample_671",30.3098263545653,-482.984749619255,115.59423421869,16.7414628932503,-96.8571957488686,301.381155902225,172.246556254984,13.2978405556748,60.2379546151785,-103.177646520756
"sample_251",100.73139669174,-562.109750001395,-70.435632607777,-135.704109774191,77.9590045156353,342.458132195447,103.351577493366,199.938555121823,-234.765929315999,-134.282950233782
"sample_743",79.4001714112695,-472.860838595844,176.795943075129,-0.873014151421636,103.287895254918,343.700684594198,165.632438611381,102.889363527705,36.3426574590936,-132.729977906195
"sample_83",112.091196289565,-278.35700649598,-29.4715871547346,-220.818723716075,-218.197282545498,-228.234296237727,9.42090160258925,87.8144436427673,-290.724871608378,-202.657452589431
"sample_43",66.9738210250076,-95.2425232943859,-292.512157646291,-445.384817560366,321.954135631617,-54.9405672407538,-71.5193127366023,94.2680640040153,-78.1240565819579,-279.021851416373
"sample_699",85.5700685332601,-804.41972299293,-179.508600280149,-191.862211972436,-61.0815381023922,446.977840411388,149.616445940761,7.73369012459938,-61.1848778201223,-94.7071976104961
"sample_361",48.7338839123842,-40.3478142923335,-93.1799655844336,-373.150619880657,43.2983456382749,-157.03021250228,16.5301136266356,55.3852907356333,67.7459632776191,-141.391361456048
"sample_427",148.650317279498,-382.422909061604,-75.0610667701659,-149.000379711167,9.30395267484335,231.718356355274,-64.0077899142401,-42.4075042113716,-151.419525253861,-50.2451617445416
"sample_531",178.349476998146,-358.952632225433,261.894756512045,-277.128520194158,178.627681149297,-134.115020067783,104.453137039379,149.589116743208,-185.315439932039,-207.376294623594
"sample_557",19.8297186823554,-262.349600788503,-64.6831291231205,-164.261180500707,282.367657102131,147.63856708413,-13.0099534936274,66.1427776256101,-187.118435444361,-117.791558939709
"sample_590",74.3635426961824,-800.160938974966,-122.710724138851,-114.045021436813,-22.0360808377477,49.371502382269,32.2618683738043,85.5496325412008,-41.1389890635878,-177.268668340357
"sample_604",-10.246471549141,-409.911855661279,-44.1607656447841,-154.310381939133,198.102229732231,-263.316187836666,-250.824471732517,40.0947672292456,-72.8213657346635,-66.521746700217
"sample_33",91.8051933854912,-224.195636084987,-296.089769987441,33.9238179335858,-47.0458361443214,-116.146561131443,75.0185378004003,237.325577436118,-116.881301239496,-50.7333187802442
"sample_135",-82.1790003539178,-545.321516323006,273.360391882688,-265.380357998334,130.786925476566,-59.1472948591816,-53.1498287179208,95.531918570099,-36.198593752744,-224.620476647484
"sample_47",3.16394933394861,-82.6528392284252,4.55342838806164,-110.986994520825,93.4125435571065,155.769929948159,81.6495469988341,93.3137672748479,-87.2966591462342,-261.13870789233
"sample_143",266.657398333357,-255.422803417197,-304.690861451854,-155.166142171199,11.5151312493275,115.903546909344,138.004225683256,63.7232094997537,49.1643372728481,-92.0302635792199
"sample_139",-35.0593564638117,-696.773805410486,-380.770061286508,-102.083714809532,4.35757468675081,-262.590561896616,151.3756127599,-131.133870454266,31.7819367524509,-177.318340378967
"sample_159",-68.717395777275,-328.56023255565,-335.45094434625,-129.186125407768,-221.947288474271,-173.489157541965,416.877608603367,-49.3970333998598,-1.44367131382265,-176.117384968824
"sample_162",-50.9832095736508,-347.213531608042,-133.365968859481,-219.617250794379,-15.8723036946137,202.369974043006,84.959546305767,-235.963462994709,26.3906665495633,-206.814814166758
"sample_404",51.1153918544568,-11.065204819649,63.4443242720583,-412.654254554173,116.564345435953,-24.3816453788635,72.5069951934688,39.5960812943179,-108.197127760085,-259.562092155391
