"","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A100_D0_AA0_AD0_DA0_DD0_epoch1649239502","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A75_D25_AA0_AD0_DA0_DD0_epoch1649239502","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A50_D50_AA0_AD0_DA0_DD0_epoch1649240345","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A25_D75_AA0_AD0_DA0_DD0_epoch1649240345","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A0_D100_AA0_AD0_DA0_DD0_epoch1649240989","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA34_AD0_DA0_DD0_epoch1649241541","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD34_DA0_DD0_epoch1649241541","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD0_DA34_DD0_epoch1649242513","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA0_AD0_DA0_DD34_epoch1649242513","simphe_mean0_hSquare0.7_cv0.1_QTN1000_A33_D33_AA8.5_AD8.5_DA8.5_DD8.5_epoch1649246514"
"sample_731",865.619941498846,1054.66632824517,-104.519743877623,345.947330746924,2510.9688605858,-777.034372778942,-339.403599157569,1036.60709978406,150.427220518578,1347.60460235061
"sample_940",121.665543210003,1590.24904477528,1465.93663685281,-1288.64130051937,-2625.87152633964,-1039.09072855154,346.723423839678,-1559.23980847634,-837.795276586754,-272.646448548691
"sample_605",1101.74142585016,-2257.40998225588,509.306630568106,-1393.97473136485,-3999.01102695319,1927.32900135466,-965.880970254946,-1573.5556360456,1739.34459023906,335.535882282619
"sample_377",3207.60422402488,1471.91425613558,1862.29279896683,1014.93810139368,63.1676307703746,28.3469311409628,1774.66227848604,-189.53098026941,5.07541267747359,955.586632006827
"sample_29",1169.45591594963,2850.91738458412,-1215.90933012069,-178.079444666819,-1413.4766147825,-242.631738589713,1514.23313175279,1745.91088411363,-38.2152072105634,-943.682132434936
"sample_399",3135.75913518171,842.569399618913,1197.12443880307,-2485.81235015323,-3229.86990531428,1594.90952714732,648.263744135328,-1270.82250031409,-1439.454856996,855.696696851366
"sample_505",3116.080850001,2458.33570670835,1965.38166755688,486.966474399062,143.171360619764,1837.12227488164,259.237209228986,-599.861367945431,-638.790573340935,2024.19669220619
"sample_446",3065.36051987861,-742.728443979381,-190.486097024409,224.559796859688,-3190.26879997348,2072.56261205449,1048.74486851049,48.0689487511831,-1031.67379568973,1017.35005227863
"sample_382",747.85693973401,61.0252612451718,2028.01456055149,3632.66414335126,-2950.79113818795,-387.847253643522,174.14749362364,59.1862861682882,1156.29397294223,2548.41732411713
"sample_393",-10.5574698565852,2093.98695271076,1693.08705684453,-4128.38462828819,-3182.75098653484,-135.975776839708,-879.013847175232,1445.62692685977,930.096863182363,2574.26142938702
"sample_463",265.929585276589,503.025972797113,1604.94814766685,-3457.22278027795,-4689.47372462653,-48.9546485390443,-327.654080205394,3027.44754070509,718.786116610715,1418.96636318719
"sample_894",1878.69624078863,1217.54664283518,163.15784200498,-1817.63968180355,-1885.54412598988,-55.4609737598256,-1602.8086623777,2311.28710560083,-37.6137535984098,130.001515601003
"sample_519",4539.28409518217,-1363.57231700563,1473.52496602245,120.169656979184,-3063.59864143232,-1705.40552665354,1638.31571707271,828.244974489879,129.080943037483,2073.02249108937
"sample_380",23.8150143175385,-1145.02891576861,2848.66333268413,-1480.67509753138,-1354.6235987057,1238.31996073148,945.641189904095,2070.49229544966,-1077.06226971484,523.887704048789
"sample_117",2681.99317255309,-783.244609685317,1443.16411790018,941.745533146542,-1559.28215414697,1628.44033941709,1057.28659701589,-146.081980905899,-203.8352224371,1048.66318329481
"sample_177",-130.107173390518,2311.18324347917,3442.78225769223,122.86616082995,-502.953575102557,1772.50123636291,1174.3854591159,-301.175546799738,-1154.43692622071,2418.99716060154
"sample_596",586.455554886319,-101.225939762068,1995.81995059565,-1782.5109682305,-749.0068533359,1982.28655182294,1218.89164048956,-284.03490894156,1036.67517982203,-312.630651218649
"sample_89",2742.09903823214,1005.81745202946,176.240418751039,-2675.78198537234,2185.31394620608,80.3140376318689,-175.915544926869,-336.002244598843,-810.285487043895,1122.35916350878
"sample_476",-637.787488389318,3357.9898682652,-2103.65163348887,1524.46623915094,-1621.42973708068,2430.98214570875,-1271.72886181028,-957.504784909695,908.883430711859,1094.82808281096
"sample_503",54.8902006892963,2939.0876891054,-947.671395930787,834.62078524591,13.8116456889498,-809.985172708367,-1788.08947773487,174.086410704144,1064.34762844294,1792.18758066255
"sample_297",4076.63378939068,2753.07737208711,3042.52901842639,1189.01578719189,2174.06073277428,16.3026331839933,1840.61886616097,-698.096292036855,611.451840011974,-384.110551003419
"sample_506",1146.31774088383,3623.72888636024,-1160.31343691879,1049.01659672227,878.662211109682,90.7123525554192,361.881845703843,854.95318584654,-1141.74451700791,1416.13256712348
"sample_507",-1003.67786052939,1663.96842175817,1285.59025230156,271.078248878092,2585.4539111461,-839.560597059919,432.581987968539,107.143265425256,696.551718720733,520.920183995696
"sample_473",1129.84053828158,3700.99474294041,978.67899116081,1213.26668512764,-2378.69693837321,-95.6802958898606,138.333314863968,143.379913722385,-413.360204001249,1626.41784397137
"sample_487",1548.6676198449,306.438880405343,501.282770429872,2487.3033530372,179.835439320968,-172.107624280965,602.320113067734,-229.431110957432,652.709345425197,-527.385398487752
"sample_489",2823.96946544463,1201.00267247575,3049.63489315988,1425.94927830942,749.656608565857,87.3939046205543,-274.780313594419,188.641391198891,-1183.11368445296,755.362152802956
"sample_485",3170.80709008304,-2202.40706232817,846.545303500624,220.282305518883,-1569.61474880682,-170.286667789001,1135.22108645869,-1459.96895753688,1303.60095352969,947.661258193054
"sample_496",-384.612340532889,1106.31269211743,1643.67772735883,1059.83514019872,-5005.4401544185,106.844840950752,-131.006733902843,-445.128771275236,520.782546702395,847.077210926388
"sample_498",-42.6751154214004,1356.10097979916,-36.0053360584789,3882.02303459154,1764.51440868501,-233.371690675975,118.947759345336,-1572.73657449289,1562.20413635063,622.371500000211
"sample_582",461.305625434826,1109.09448787119,1150.33760077347,691.917593637148,367.271164906593,1759.11746483646,-660.688331993423,-1129.6755110212,-1590.24148124722,-829.143778558934
"sample_101",1660.74017878382,2656.70348300747,933.322762411528,-1787.13013832358,-327.763123595461,2048.79352631369,-533.669051935484,31.1344326466325,406.798626649728,397.414475925199
"sample_31",2330.81102314722,2714.04466231477,1570.67508373121,758.0488613644,-390.437118034475,292.203594593891,767.217993645999,438.030693398631,865.913678096505,1576.07610370349
"sample_1007",3355.44306102119,5399.56123599471,1507.42557550312,-125.931536978589,-2395.15061152429,1065.7867514017,-1557.82228909579,628.88520943932,-666.697486774507,1362.29599045921
"sample_999",3598.64442542181,1028.32075230165,-67.9878997286683,968.828431321191,-1845.12492899814,-361.612877664603,1108.35605069568,-867.08647871927,-370.62798633595,796.86555958699
"sample_1002",2802.79358906248,1541.16927639217,2210.64658088735,1795.72214148454,1294.65865931046,-448.757247012314,399.879419105017,-1242.10970238388,1664.40765178874,1890.54313039331
"sample_1026",1521.45259124944,1964.74848574877,2494.25046155362,-1079.55119415392,-3071.9343652684,-41.7049085793008,1290.12291657114,2166.63497560954,623.872155943668,1100.41940399057
"sample_1021",751.814485484492,1608.20282045237,2373.49446370292,-273.475848811209,-3032.60890326605,1015.6245659159,-1049.63055760344,832.615199668663,946.114522150513,1543.09162110913
"sample_654",5203.341234902,-791.643264720667,207.287667903923,-922.713922733036,-3542.82461432762,74.4230756737866,71.2181783513173,907.929516239376,83.2730344857575,-129.131979280577
"sample_985",4075.95263982537,-503.487357462823,3224.13791123858,2248.43017697222,-2477.33192800111,1355.22604479113,-1820.14929956077,477.164682101134,-969.835472270062,120.147869889827
"sample_978",2588.84601494543,2221.88084624012,2439.24879559483,71.3342138778035,-2367.54369681794,-1535.03911652802,-935.924065270265,-1042.91629501036,752.98687621053,1476.17613314436
"sample_548",-2203.75302141578,1644.56102903404,-1420.52696820889,1669.51551944635,-1625.79933658186,108.442250433146,-593.315520090251,-1892.89558778192,-342.134802548362,1981.5226128544
"sample_368",2320.35742500982,1872.04058722071,-453.909072636919,364.357246871319,-585.875587113246,813.414841479141,1041.53848097917,241.700980446271,552.066127100811,682.282053860201
"sample_367",686.881702450051,650.4068623564,-473.907845667242,19.7021189491214,-2501.52449536694,322.948335492033,79.9026759210759,796.808181331732,972.530243884884,683.781416823767
"sample_447",1856.83631273705,-2451.08981309647,-606.896609818507,-1760.55313679804,-3062.9804954674,-733.44307719596,-1068.52314144811,-399.818837946012,1158.38358678401,2255.94933695543
"sample_824",3215.34688933013,-2723.61425235493,431.835649933949,1832.25166341003,2000.71356559348,-796.908914806377,597.617777039071,1849.72386758287,-665.550405751559,333.668841902718
"sample_524",334.70542071939,-789.491472018841,1372.68787473218,1594.65292013977,-3643.5177207805,498.139040042615,-2875.25228422698,1195.18425101234,634.564972966947,1137.62760208247
"sample_436",3706.63495023462,1299.58010319464,2094.29785915341,338.62304627339,1692.14733638646,1587.31976156789,-55.3119182917262,-618.331409822375,745.999672865606,2310.65558024295
"sample_378",2646.4201285438,2397.28382514366,2738.86543336014,-650.887484741718,274.048090291703,-442.401663994191,-736.66539067789,512.32969918284,537.146051567999,670.954080362729
"sample_389",2096.76107242893,1162.92324999424,2106.44067282544,-1308.76909567322,2192.34252398924,-514.530154338497,-848.500643611433,429.586862234893,305.275122089236,371.799374132613
"sample_411",1960.43658871426,156.740395460048,1408.292468102,80.3640157562536,-3299.31151244547,-420.996657753419,637.857161511852,705.081993745761,2238.4139069222,2254.80466283516
"sample_434",2353.49109250443,-1471.63713188861,1191.94468832598,1990.03941398354,-3934.30898475641,879.760429579027,-1297.87010703261,-1370.4531505725,-872.777305251485,1064.14723254327
"sample_558",-970.172387415036,2357.22131060499,2298.14533160627,360.337099307791,1574.78092384482,-103.954383139358,-1149.84296841313,928.62824560497,1289.78495334098,563.209957940935
"sample_87",-2987.55195243151,3171.20051051147,3500.55072718709,194.482173702283,-758.61891122254,-1303.03774865263,151.18930299846,1053.33325250435,344.592415368302,1437.41544594289
"sample_482",1821.2364823906,632.832994938143,1051.86093990302,75.2038699627726,-1421.37983951506,1134.39217811214,-262.570788942093,-1523.63981308468,-207.520426357031,1629.77564984335
"sample_703",2570.27885131813,2585.73357958791,391.059523866515,1653.98102834709,-2602.47653688864,730.034977067035,-1010.49383851505,1373.13569162438,1072.22556701288,-73.7648208841972
"sample_779",-1884.86600615903,1146.09172165815,953.352270566738,1557.47588240914,-817.321236361313,1454.66576486027,-870.117359107181,-1757.23440200436,465.394106536776,-139.302728675171
"sample_791",-78.349244916446,191.834320946764,2299.64387521084,-170.123182526634,-3887.80436518166,859.239168095859,2051.91097641922,374.786446623204,822.093197841744,1765.66528524581
"sample_9",3379.50726491577,830.94916968788,-111.813477410467,-3158.45740818074,-2272.07524796862,1411.91374014352,2304.11289650484,-538.056629144025,-393.402741571658,1075.4902156047
"sample_950",-955.306507708816,-254.477101772814,1078.93413334607,451.337285716408,2341.47400124858,-1818.67983710524,354.415234437334,2052.58709226214,131.495371873174,841.405077525782
"sample_670",2286.86769287103,271.822315011784,1733.72164667122,-1605.57330009951,-1897.78529791278,413.241092961987,1669.3572121466,380.41755979458,772.142278108598,863.42455224236
"sample_1029",-34.3430806996886,-1956.26740498795,2928.67876420914,-1670.57507942932,754.611780609743,1421.38101070687,1439.32260546917,1743.84626651675,68.4952500693228,1361.06531972542
"sample_641",502.343693541155,-390.967131813519,1620.82486801233,-1021.45725262145,-78.9459561622431,300.459216073775,-552.286836950439,2468.82783170844,864.900964796994,1763.29975576137
"sample_851",-1370.66574058139,1317.65676985023,-96.9743522862483,2758.01424266139,-640.204189992468,-284.594912811829,959.329179814107,2028.02252629566,830.55845407909,880.457303785713
"sample_887",954.327125696735,7.15764676262041,983.593117049857,-1754.37868775376,-1601.68861587088,-1334.71695139123,-408.724085492511,-746.460622293836,346.410111375072,1871.18197937787
"sample_617",1819.99702868501,-145.184020135687,472.985753946319,2133.63451605779,-437.056266406065,-68.3606265254791,-429.068128115491,257.318652472194,-251.651547547199,455.745182897738
"sample_730",-634.431054666484,550.108814880631,2080.71332789579,1390.12803996157,-12.4801543389804,161.096638495601,454.22442221154,464.114671651989,-986.197225986737,892.73228182352
"sample_929",-1712.63366909521,3244.17359057356,574.705207870059,-1206.60461944801,4487.47201883404,-626.859920966651,-1260.84260236764,1409.97671509859,-315.377475460483,366.575639646987
"sample_890",3005.15130104023,2801.60563861804,-326.408897709105,-2173.01674965252,-488.530699628614,1053.69824511581,-1703.61867919626,1984.51790198576,1070.93250215003,-461.312717557756
"sample_850",829.644126489381,3409.09771731782,2905.21129006488,2246.59369053016,1709.07660684478,1284.05547053708,2090.04912053691,892.312392371148,1571.49732191909,720.594926202561
"sample_745",-966.832330830053,1782.40641511193,1104.98518167238,235.474488281263,-1584.36608768536,2788.19476242934,31.1677043664601,431.370391113471,-289.554650548814,1728.54245503643
"sample_888",1889.89974696693,-1191.65038725038,-2407.47405984336,1175.74389799695,-3449.71025304113,-729.181341233214,-410.762700756558,-1267.25363838455,442.959208897875,1183.23899112461
"sample_656",1249.11172270781,-2598.41244697258,-29.8176570730998,-797.467715157944,416.003941293296,457.832009483158,-105.927082050778,-439.468053043067,497.725497409727,-699.37303466201
"sample_584",2885.24930156395,748.712328454301,1536.84784209275,1704.82885368136,-466.622024765154,581.973130808489,-134.475301981492,582.249344687063,766.719737440139,2174.09947925296
"sample_937",-2117.96724653808,245.887969270047,579.555749606766,1276.77948291323,-962.082562329078,573.073709718025,-1880.21912216645,2116.35311062446,-15.4493119897741,-75.6377553501061
"sample_340",2189.25583032146,-509.557220401519,615.8227836692,-1588.45961462145,-3813.38001928112,852.616925467694,790.807519949251,-1661.9786659054,1265.13847429897,-469.858616942089
"sample_354",-1185.01156752048,50.8281485397968,3612.28943802086,630.646045009942,627.318510839544,800.677253033043,-85.879783952632,-1302.81170013135,-357.278004103901,2526.45882580608
"sample_799",486.422664215899,3580.80474476966,944.280759704138,-1750.76758469097,433.018873661661,730.512414164233,1852.83665467709,618.900818879955,-592.240174362909,2457.25489363501
"sample_624",515.905180183505,1332.73615391755,1124.9185564842,1163.52086230929,1221.71660960003,275.130298639804,-487.174049398368,310.326578995424,1021.10365169418,1218.96554550812
"sample_876",-212.629977666304,-499.42680098941,697.68305725367,80.9180489544258,2246.62649659708,-1972.53433380794,-1512.07147789968,1349.02201518063,1601.30308648166,664.372321703857
"sample_879",-1570.71985002997,1808.38769465832,1203.48256377365,-987.810889282256,775.293742725919,708.955431743449,1216.89933294764,1717.65301510941,1850.80162524318,144.89433940984
"sample_630",988.569876134116,352.157050428645,-159.43072471292,-3388.44691984338,43.4908267559065,-769.233200357769,663.253362649637,-336.221700303514,-1640.85145993276,1814.03124116332
"sample_58",3864.6109310781,1122.49785576773,-412.058026819013,-1900.47520319017,-3756.64267233798,1804.89775407809,-775.249408293277,1195.80392430265,-69.2597824055464,393.835105620823
"sample_865",1993.79799632799,-985.227503971437,4184.84766443231,66.9354895741676,-1473.09525496196,-218.51429546567,991.738079710102,1804.80276130491,1136.92077668833,2078.88153949261
"sample_914",1563.34476213793,3037.26212699267,614.627961626382,-1611.12139878646,-500.144701330207,1041.41310508256,-380.845996134887,395.222873323671,-769.403191493244,3141.65595060428
"sample_671",1131.2567453738,732.204178744207,1799.25997142693,412.037596944776,-452.841097065593,2055.62895500614,1498.00511714412,1856.71744191066,1185.82222813888,728.318974963761
"sample_251",3577.21959315073,-942.078367642341,2152.39807657861,-2576.76003991863,772.047540909395,542.718471227518,593.90977483813,478.916974046897,286.462950544392,1460.74850827046
"sample_743",-1916.32328240274,-611.760308559734,1747.17692690298,-825.946091162496,1251.46721566518,1434.62058252705,1008.51801443011,103.953462409299,244.122776085183,-100.967393048264
"sample_83",975.567796748336,-783.150060484185,576.577675094025,-2276.46124684187,-290.893650883039,1416.31366045434,1115.72012645938,-561.151184112841,-129.771731753933,1754.40579213447
"sample_43",3164.39994709903,-3093.8344403324,-52.4609149976936,-1244.50017212438,-1748.8508814901,116.467280793512,1164.91093557714,475.289418563458,-981.463717704482,1896.68352547523
"sample_699",2105.76938190915,-2281.86226913142,-2193.18275658085,-945.438020567455,-3418.4942715297,-439.352552240843,-407.108570812608,-1124.06790380578,1684.39143060818,1264.04714942778
"sample_361",893.02291137045,-1068.49625231244,1389.89022109836,1898.96380726433,-79.4066470345899,-194.238159568224,356.54052110479,-208.681280697796,-107.529551082481,1438.97347032296
"sample_427",2432.17967530335,2752.89930833596,2915.67339287025,603.501988491081,-385.4050880579,-321.107968521279,-888.429259281465,2168.84377176631,-772.515961487415,1659.93087651993
"sample_531",4933.9023971593,-1876.90180632401,-1672.26326062944,-315.906124769232,729.090595165374,869.947406106065,1520.16069817517,-225.202652294563,-627.263081513976,2445.78086990743
"sample_557",1893.23839921195,96.5587765069301,808.536215179877,-1120.07385180418,1602.39021976956,931.243032300342,993.366808612585,475.598388720862,-884.331931054023,1354.73969348366
"sample_590",2525.76477635702,2392.02293431981,2753.52943424356,2041.78882340076,683.728805298784,1198.04588944063,203.216408938654,23.5294162607314,683.549540317826,1288.28368697869
"sample_604",-997.099660601433,-1505.00583617894,2735.99509047567,823.766226589896,-4848.52026777952,-400.7757385929,139.60353612819,229.508162776211,448.761733611991,1733.31488476228
"sample_33",1847.90162465638,-125.999197527199,777.366402867064,1265.99365648103,-329.424192799107,220.032193914006,-250.067351635231,1007.01829672889,1956.94365795899,1075.66510094252
"sample_135",2942.39771958144,709.665948076447,539.207733145071,1169.54861720822,-2652.78317257239,-908.282927834846,473.398206206024,-1292.167387589,1269.92740081854,1394.79818903047
"sample_47",2576.85677692003,-2519.35039869323,720.839972651628,3912.51909092734,-1355.33637536479,-322.234445484328,634.178900319264,598.051759343824,-300.398390525631,1762.92605168709
"sample_143",1018.75511279132,1128.22602007263,-2445.6425820846,1385.3542639696,-129.49463082719,-1029.08578960651,-1442.81672320803,1662.62248510675,26.9048458943502,933.064744146949
"sample_139",676.83613263109,-166.456894778842,-3609.41154081281,-1660.49460541827,-1630.59276573719,-101.040571669013,-809.139213705515,-19.0201373142032,-981.059020933208,298.611089663936
"sample_159",762.145055941542,1400.91095848439,-690.021058690976,-359.674297305531,803.38318055981,-229.717124602213,-1035.26643758502,-1258.07508809154,-1033.28465414034,858.452559179233
"sample_162",1489.11308123812,-136.513069496973,-363.031270649847,-1844.81591370733,-1895.33636557547,375.531458659095,-822.941112514781,-2034.85006380723,365.552569878477,1455.43641528739
"sample_404",2233.09301354742,1003.95317073461,-1395.89479290076,58.7701000716816,3029.44552518803,1189.37846615171,-1008.66071768424,1221.49630049386,-358.929191468179,1712.88801863368
"sample_405",476.191837282388,-3.12052769878787,-819.16893588515,752.847969481644,1058.51206642784,1972.98511314876,200.879478212066,3443.23400289367,-572.398256663216,-354.618839167176
"sample_428",2142.87234454743,811.905349755563,-13.5562534560643,-774.496307285441,3784.1552383352,571.051430973626,1235.89126363328,431.983224868834,471.444349178067,926.12821966098
"sample_122",2743.74694488142,827.822267832306,2535.49045391627,-1299.77986424948,-829.859507370977,-228.972948773104,912.302778758172,1247.10802196566,-1735.4186470779,921.53810656171
